Id,Id2,Geography,Total; Estimate; Workers 16 years and over,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Estimate; PLACE OF WORK - Worked in state of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked in county of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked outside county of residence,Total; Estimate; PLACE OF WORK - Worked outside state of residence,Total; Estimate; Living in a place,Total; Estimate; Living in a place - Worked in place of residence,Total; Estimate; Living in a place - Worked outside place of residence,Total; Estimate; Not living in a place,Total; Estimate; Workers 16 years and over who did not work at home,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.,Total; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes)
0500000US27001,27001,"Aitkin County, Minnesota",6374,89.5,79.5,10.1,7.7,0.9,1.5,1.07,0.3,4,0,0.9,5.2,99.3,66,33.2,0.7,23.7,13.9,9.8,76.3,6043,4.9,3.6,6.7,8.4,10.3,13,16.6,9,4.4,23,24.9,13.1,13.8,11,5.5,9.9,6.7,6.5,8.6,24.8
0500000US27003,27003,"Anoka County, Minnesota",175464,90.7,82,8.7,7,1.1,0.6,1.06,3.3,1.1,0.2,0.6,4,99.4,39,60.4,0.6,98.8,14.5,84.3,1.2,168360,4.4,4.9,6.7,11.4,12.3,14.5,10.2,8.1,3.9,23.6,8,10.5,12.7,15.2,8,16.8,10.8,11.1,7,28
0500000US27005,27005,"Becker County, Minnesota",15403,88.9,77.4,11.6,8.7,1.6,1.3,1.08,0.2,2.5,1,0.6,6.7,91.5,73.6,17.9,8.5,36.6,21.6,15,63.4,14365,4.2,3.1,5.7,8.6,11.7,14.6,20.4,10.1,3.5,18.1,22.5,18.8,15.6,11.7,4.8,7.4,3.8,7.4,8.1,23.2
0500000US27007,27007,"Beltrami County, Minnesota",19957,85.7,74.9,10.8,8.7,1.2,0.9,1.07,2.7,3.2,1.1,0.6,6.8,98.6,85,13.6,1.4,43.4,28.5,14.9,56.6,18601,4.1,2.9,3.7,6.4,10.7,17,20.4,8.6,3.6,22.7,22.5,23.8,18.4,10.7,3.9,7.9,3.4,3,6.4,20.1
0500000US27009,27009,"Benton County, Minnesota",19393,91.5,82.3,9.2,7,1.1,1.1,1.06,0.9,1.9,0.6,0.6,4.5,99.3,36.8,62.5,0.7,66.2,18.7,47.5,33.8,18514,6.1,5.1,5.8,8.2,11.3,17.2,13,6.5,3,23.9,19.2,18.7,18.2,13.1,5.3,10.3,4.1,4.7,6.3,22.3
0500000US27011,27011,"Big Stone County, Minnesota",2418,84.2,75.7,8.5,5.3,0.7,2.6,1.06,0.4,5.7,0.5,0.4,8.9,84.7,67.9,16.9,15.3,63.8,30.6,33.2,36.2,2204,5.4,5.2,3.4,7.8,10.6,15.2,19.7,10.2,5.6,16.9,41.8,13,11.4,9.7,4.4,9,2.5,3.8,4.4,17
0500000US27013,27013,"Blue Earth County, Minnesota",35147,90.2,81.8,8.4,7.2,0.8,0.4,1.05,0.7,3.8,0.7,0.5,4.1,99.4,75.2,24.1,0.6,79.1,46.6,32.5,20.9,33718,3.1,1.9,4.5,6.4,11.2,12.5,18.4,8,4.1,30,23.5,28,20.1,11,3.9,5.5,2.3,2.1,3.5,17.2
0500000US27015,27015,"Brown County, Minnesota",13339,84.8,77.3,7.5,4.9,1.8,0.7,1.05,0.6,5.5,0.7,0.6,7.8,99.6,85.9,13.6,0.4,76.7,55.4,21.3,23.3,12295,3.4,4.3,6.4,9.8,11.1,14.4,17.4,6.5,3.4,23.3,42.5,20.4,11.4,8.8,2.9,5.8,3,2.6,2.6,14.9
0500000US27017,27017,"Carlton County, Minnesota",15920,91.7,83.4,8.2,6.2,1.5,0.5,1.05,0.2,2.8,0.2,0.9,4.2,96,64,32,4,56.8,21.5,35.3,43.2,15244,4.6,5.1,5.5,9.6,10.9,13.8,16.6,7.4,2.5,23.9,20.6,18.3,12,13.7,7.2,13.9,6.5,4.5,3.3,21.2
0500000US27019,27019,"Carver County, Minnesota",49996,88.8,82.8,6,4.8,0.6,0.5,1.04,1.7,1.3,0.4,0.5,7.3,99.3,39.5,59.8,0.7,87.9,18.8,69.2,12.1,46336,3.7,3.3,5,8.8,11.8,17.5,15.2,10.5,4.5,19.8,14,11.3,12.1,14.7,9,14.2,10,9.5,5.2,25.4
0500000US27021,27021,"Cass County, Minnesota",11813,85.8,75.9,9.9,8.1,1.1,0.8,1.07,1,3.6,0.3,1.6,7.8,97.9,55.4,42.5,2.1,23.4,9.2,14.2,76.6,10889,4.5,3.9,4.6,7.4,12,15.5,18.3,7.2,4.4,22.2,23.4,14.2,14.2,14.2,5.9,10.6,5.1,6.3,6,22.8
0500000US27023,27023,"Chippewa County, Minnesota",6306,89.9,81.3,8.5,4,2.7,1.8,1.06,0.4,3,0.7,0.4,5.6,98.7,70.5,28.2,1.3,66.1,39.7,26.4,33.9,5953,4.1,7.1,5.3,10,12.5,15.1,17.2,7.4,1.8,19.5,40.2,17,12.2,10.6,3.6,6.4,3.1,2.6,4.3,17.9
0500000US27025,27025,"Chisago County, Minnesota",26941,92.6,84.1,8.4,6.6,1.1,0.7,1.05,0.9,1.1,0.3,1,4.1,96.4,36.2,60.1,3.6,64.6,11.9,52.7,35.4,25829,7.5,6.8,8.4,12,11.1,15,8.7,6.7,3.2,20.7,12.9,8,10.4,9.3,4.5,11.3,10.9,17.9,14.8,32.7
0500000US27027,27027,"Clay County, Minnesota",32208,86.6,78.6,8,6.2,0.9,0.9,1.05,1,5.5,0.5,0.9,5.6,47.4,43.7,3.7,52.6,86.8,30.7,56.1,13.2,30418,2.9,2.1,3.3,6.1,11.2,18,18.4,8.6,3.8,25.7,21,17.9,23.8,14.4,4.8,8.2,3.4,3.2,3.1,18.8
0500000US27029,27029,"Clearwater County, Minnesota",3454,89.6,77.4,12.2,9.3,1.6,1.4,1.08,0.9,2,0.1,1.1,6.3,96,61.1,34.9,4,25.4,10.4,14.9,74.6,3238,3.7,2.5,7.6,11.4,12.6,15.9,17,7.3,2.4,19.6,25.5,13.6,12.6,9.3,5.2,11.4,6,7.2,9.2,26.1
0500000US27031,27031,"Cook County, Minnesota",2726,81.4,71.3,10.1,8.2,1.3,0.6,1.07,0.4,9.8,0.3,1,6.9,99.8,94.8,5.1,0.2,30.4,16.7,13.8,69.6,2537,2.1,1.9,4,6.6,9.7,8.9,26.3,10.8,6.7,23,45.6,13.8,11.3,7.5,2.9,6.5,2.4,5.6,4.3,18.5
0500000US27033,27033,"Cottonwood County, Minnesota",5399,82.9,72.2,10.7,7.6,1.8,1.3,1.08,1.2,7.1,0.9,1,6.8,98.9,77.3,21.5,1.1,68.5,39.6,28.9,31.5,5030,3.5,3.9,6,10.4,11.2,11.8,19.1,8.8,5.1,20.2,38.4,20.1,11.6,8.2,5.1,7.9,2.8,2.3,3.7,16.1
0500000US27035,27035,"Crow Wing County, Minnesota",28183,90.1,80.6,9.6,7.5,1.2,0.8,1.06,0.5,1.7,0.5,1,6.2,98.7,84.6,14.1,1.3,56.2,21.9,34.3,43.8,26423,3.8,3.8,5.8,6.4,9.5,16.3,19.1,8.7,4.4,22.2,20.9,19.9,16.4,13.4,6.1,10.5,3.9,3.5,5.3,21.6
0500000US27037,27037,"Dakota County, Minnesota",215803,90,82.3,7.7,6.4,0.8,0.4,1.05,3.3,1.1,0.3,0.8,4.5,99,47.9,51.1,1,96.3,20.3,76,3.7,206092,3.1,3.2,4.5,9.9,12,15.9,12.7,9.7,5,23.8,12.6,12.7,14.3,16,8.6,16,8.2,7.7,3.9,24.1
0500000US27039,27039,"Dodge County, Minnesota",10593,90.9,81.6,9.3,7.4,1,0.9,1.06,0.7,1.5,0.3,0.8,5.9,99.3,37.2,62.2,0.7,59,12.6,46.4,41,9972,5.5,4.1,7.6,13.4,14.2,17.3,10.2,6.3,1.6,19.8,18.3,9,9,20,11.5,17,5.6,5.3,4.3,23.7
0500000US27041,27041,"Douglas County, Minnesota",18211,90.8,83.2,7.6,6.1,1.1,0.4,1.05,0.3,2.5,0.4,1,4.9,98.8,85.1,13.7,1.2,43.6,25.9,17.6,56.4,17311,3.7,3,5.5,6.1,10.7,15.7,20.1,8.6,4.6,21.9,27.2,24.6,16.6,12.6,3.9,6.9,2.1,2.1,4.1,18.3
0500000US27043,27043,"Faribault County, Minnesota",6952,86.5,78.4,8.2,6.3,1.5,0.4,1.05,0.3,4.6,0.3,0.6,7.7,96.5,71.7,24.7,3.5,67.6,33.5,34.1,32.4,6419,4.6,4.5,5,9.2,11.9,16.4,17.3,8.3,3.3,19.6,36.4,13.3,11.6,9.4,4.6,8.7,6.1,5.8,4.1,19.2
0500000US27045,27045,"Fillmore County, Minnesota",10188,82.9,70.7,12.2,10.1,1.3,0.9,1.09,3.2,4.9,0.6,1.2,7.1,94.9,55.1,39.9,5.1,58.3,19.1,39.3,41.7,9464,5.9,6.1,7.1,12.5,13,15.6,12.7,6.9,2.6,17.7,26.4,11.3,8.6,7.7,5.6,11.8,8.2,12,8.4,25.5
0500000US27047,27047,"Freeborn County, Minnesota",14894,91.2,80.7,10.5,8.2,1,1.3,1.07,1,1.8,0.4,1.6,3.9,94.6,75.2,19.4,5.4,69.3,43.7,25.5,30.7,14311,5.8,4.7,6,8.5,10.5,12.6,15.5,7.8,3.3,25.2,26.6,23.5,17.4,9.7,5.1,7.5,3.1,2.7,4.6,18.5
0500000US27049,27049,"Goodhue County, Minnesota",23177,88.4,79.4,9,7.3,1.1,0.6,1.06,1,4,0.4,0.9,5.3,98.2,64.8,33.5,1.8,65.3,35.7,29.6,34.7,21942,6.2,5.9,7,10,10.9,15,12.5,6.3,3.9,22.3,24.9,15.7,10.5,11.3,6.6,9.4,6.2,8.1,7.3,23.1
0500000US27051,27051,"Grant County, Minnesota",2919,86.1,79.4,6.6,4.7,1.2,0.8,1.05,1.1,6.9,0.3,0.9,4.8,98.2,57.4,40.8,1.8,52,19.9,32.1,48,2778,3.2,3.3,5.9,8,9.6,17.7,19.2,11.1,3.5,18.5,29.8,11.6,7.8,9.2,7.7,17.1,6.5,4.4,5.8,22.7
0500000US27053,27053,"Hennepin County, Minnesota",623276,81.7,73.5,8.1,6.5,0.9,0.7,1.06,7.4,3.3,1.7,0.9,5.1,99.2,81,18.1,0.8,100,30.6,69.4,0,591786,2.7,2.3,3.8,6.7,9.7,15.1,14.6,12.9,6.7,25.5,9.7,13.9,18.1,19.4,8.9,15.1,6.3,5,3.5,23
0500000US27055,27055,"Houston County, Minnesota",9609,87.8,79.9,7.9,5.7,1.2,1.1,1.05,1,3.1,0.4,1.4,6.3,53.3,45.3,8,46.7,54.8,15.9,39,45.2,9003,6.5,4.6,7.9,9.8,11.4,15.1,18.2,7.6,2.9,16,21.8,17,16.8,11.9,5,10.7,6.7,5.6,4.6,21.3
0500000US27057,27057,"Hubbard County, Minnesota",9329,89.2,79.7,9.5,7,1.5,1,1.06,0.4,3.3,0.3,0.9,6,98,58.5,39.4,2,24.4,16.2,8.2,75.6,8770,3.2,3.5,3.9,6.3,11.4,12.5,20.9,9.8,5.5,22.9,23.1,18.2,16.2,14.9,5.8,8.6,3.1,3.9,6.1,21.6
0500000US27059,27059,"Isanti County, Minnesota",18880,90,80.4,9.6,7.5,1.8,0.3,1.06,1,1.7,0.2,1.1,6,98.6,41.1,57.5,1.4,40.4,10.3,30.1,59.6,17751,8.6,7.4,7,12.1,10.6,11.4,10.2,5.7,2.8,24.2,13.7,13.5,10,8.2,3,8.3,11.5,13.6,18.1,33.5
0500000US27061,27061,"Itasca County, Minnesota",19367,91.3,81.5,9.8,7.8,1.1,0.8,1.06,0.9,2.7,0.4,0.5,4.2,99.2,84.4,14.8,0.8,50.2,21.4,28.8,49.8,18556,3.8,3.8,6.4,11.2,9.1,11.5,18.6,9.2,3.3,23.1,20.7,18.1,16.6,13.5,5.5,8.6,5.1,5.3,6.5,22.8
0500000US27063,27063,"Jackson County, Minnesota",5223,88.4,80,8.4,6.8,1,0.6,1.05,0.2,3.2,0.1,0.9,7.3,93,72,21.1,7,58.4,33.4,24.9,41.6,4844,7.5,5.9,4.5,7.1,9.5,20.1,16.8,8.2,4.1,16.3,35.6,15.3,14.5,11.6,6.6,7.7,2.5,1.9,4.3,17.8
0500000US27065,27065,"Kanabec County, Minnesota",7022,91.4,80.5,10.9,7.8,2.2,0.9,1.07,0.1,1.8,0.1,1.8,4.8,97.8,47.4,50.5,2.2,25.1,12.2,12.9,74.9,6687,10.5,7.6,7.5,8,8.9,13.6,11.9,6,3.4,22.5,18.9,12.7,9.3,9.6,5.6,12,5.9,7.6,18.3,32.1
0500000US27067,27067,"Kandiyohi County, Minnesota",21430,92.4,82.1,10.2,7.4,1.7,1.1,1.07,0.8,1.9,0.6,0.5,3.8,99,86.5,12.5,1,59.9,39.8,20.1,40.1,20610,4.3,3,5.3,6.9,11.4,15.9,18.7,7.8,3.8,22.9,31.2,23.2,13.3,11.6,4,7.4,2.4,2.4,4.6,17.5
0500000US27069,27069,"Kittson County, Minnesota",2129,80,69.2,10.8,6.2,2.8,1.8,1.08,0.6,7.7,0.5,0.7,10.6,86,72.3,13.7,14,57.7,29.1,28.6,42.3,1903,4.5,4.5,5.3,9,13,14.6,19.5,8.8,4.2,16.6,37.1,12.3,10.4,7.9,4.7,10.1,4.4,7.1,6,20
0500000US27071,27071,"Koochiching County, Minnesota",5810,86.5,74.6,12,10,1,0.9,1.08,1.8,3.7,0.7,1.4,5.9,98.8,90.9,7.9,1.2,60.4,45.5,14.9,39.6,5469,6.8,5.6,5.4,8.7,9.1,9.3,18.1,9.7,3.6,23.5,48.2,19.3,10.9,5.1,2.2,5,1.3,2.6,5.4,16.6
0500000US27073,27073,"Lac qui Parle County, Minnesota",3359,82.5,74.3,8.2,5.9,1.6,0.7,1.06,0.3,5.4,0.1,0.7,10.9,96.8,71.4,25.4,3.2,45.7,26.8,18.9,54.3,2993,4.1,4.5,6.3,7.5,8.8,15.5,18.4,12.4,3,19.6,37.5,14.8,12.6,11.6,3.4,10.6,2.7,3.1,3.7,16.9
0500000US27075,27075,"Lake County, Minnesota",4741,87.1,76.7,10.4,7.2,2.8,0.4,1.07,0.1,5.3,1.2,1,5.3,94.4,70.6,23.9,5.6,50.3,27.5,22.8,49.7,4489,7.1,5.1,7.8,7.4,11.3,11.6,13.6,7.2,5.1,23.8,35.6,13.7,9.5,6.8,1.7,7.2,7.9,10.6,7,21.8
0500000US27077,27077,"Lake of the Woods County, Minnesota",1971,92.5,74.8,17.7,13.7,3,0.9,1.11,0.1,2.8,0,0,4.6,99.9,72.7,27.2,0.1,27.9,16.3,11.6,72.1,1880,15.2,5.2,6.1,7.2,8.2,14.5,14.5,6.3,4.3,18.5,27.9,15.8,16.7,11.6,3.8,9.6,6.8,2,5.8,18.4
0500000US27079,27079,"Le Sueur County, Minnesota",14238,91.5,81.6,9.8,8.3,1,0.5,1.06,0.5,2.9,0.3,0.9,4,99.3,40.4,58.9,0.7,58,19.1,38.9,42,13663,6.5,4.5,6.3,10.5,12.6,16.5,14.6,7,3,18.3,23.1,12,10.2,10.4,6.8,12.8,8.2,8.7,7.8,25
0500000US27081,27081,"Lincoln County, Minnesota",2946,80.9,71.8,9.1,6.2,1.9,1,1.07,0.1,6.2,0.2,0.9,11.8,90.9,60.4,30.5,9.1,52.7,25.4,27.3,47.3,2599,3.7,4,4.9,9.4,12.7,17.6,17,9.7,2.7,18.4,34.4,11.9,10.4,7.6,5.4,15,7.5,4.3,3.5,20.2
0500000US27083,27083,"Lyon County, Minnesota",13925,88.1,74.3,13.8,10.7,1.8,1.3,1.09,1.1,3.1,0.5,0.7,6.5,98.3,91.1,7.2,1.7,77.9,54.7,23.2,22.1,13025,3.7,3.1,4.6,6.1,12,16.3,21.4,7.7,3.5,21.6,44.1,18.7,10.9,11,3.7,5.8,1.2,1.5,3.2,15.3
