Id,Id2,Geography,Total; Estimate; Workers 16 years and over,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Drove alone","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 2-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 3-person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Carpooled - In 4-or-more person carpool","Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Estimate; PLACE OF WORK - Worked in state of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked in county of residence,Total; Estimate; PLACE OF WORK - Worked in state of residence - Worked outside county of residence,Total; Estimate; PLACE OF WORK - Worked outside state of residence,Total; Estimate; Living in a place,Total; Estimate; Living in a place - Worked in place of residence,Total; Estimate; Living in a place - Worked outside place of residence,Total; Estimate; Not living in a place,Total; Estimate; Workers 16 years and over who did not work at home,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 12:00 a.m. to 4:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:00 a.m. to 5:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 5:30 a.m. to 5:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:00 a.m. to 6:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 6:30 a.m. to 6:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:00 a.m. to 7:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 7:30 a.m. to 7:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:00 a.m. to 8:29 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 8:30 a.m. to 8:59 a.m.,Total; Estimate; Workers 16 years and over who did not work at home - TIME LEAVING HOME TO GO TO WORK - 9:00 a.m. to 11:59 p.m.,Total; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes)
0500000US27085,27085,"McLeod County, Minnesota",18503,90.9,82.1,8.8,6.7,0.6,1.5,1.06,0.4,3.1,1,0.7,4,99.4,67.3,32.1,0.6,70.8,34.3,36.5,29.2,17771,5,5.1,8,9,10.8,13.8,13.6,9.1,3.4,22.2,28.2,16.8,11.4,10.4,5.8,7.5,3.6,6.8,9.4,22.2
0500000US27087,27087,"Mahnomen County, Minnesota",2121,88.4,75.2,13.2,10.2,1.8,1.2,1.09,2.2,4.5,0.1,0.8,3.9,96.7,69.5,27.2,3.3,46.2,21.7,24.4,53.8,2038,3,4.2,5.6,7,7.7,15.8,23.3,9.6,4,19.9,31.8,10.5,13.4,10.7,5.7,11.7,5.2,3.2,7.7,22.1
0500000US27089,27089,"Marshall County, Minnesota",4657,87.5,75.7,11.7,8.5,2,1.2,1.08,0.3,3.5,0.4,1.4,6.9,88.2,51.5,36.7,11.8,48.9,20,28.8,51.1,4337,4.2,4.8,5,9.4,13.1,16.8,19.2,9.6,3,14.9,27.5,8.5,9.8,10.9,7.4,14.4,7.5,7.7,6.2,23.1
0500000US27091,27091,"Martin County, Minnesota",10239,89.9,80.5,9.3,6.4,1.8,1.1,1.06,1.2,2.8,0.1,1.5,4.6,96.3,81.8,14.5,3.7,73.3,45.1,28.2,26.7,9769,3,5,6.4,7.2,10.9,14.4,17.4,9,3.9,22.7,35.4,18,13.6,11.8,4.3,7.4,2.3,2.7,4.5,16.9
0500000US27093,27093,"Meeker County, Minnesota",11179,90.9,82.7,8.2,6.1,1,1.1,1.05,0.2,3.1,0.4,0.7,4.7,99.4,54.7,44.7,0.6,47.8,21.1,26.7,52.2,10657,5.4,5.8,6.8,10.3,12.4,13.6,16.1,6.9,3,19.5,25.3,14,12.6,12.7,6,10,4.5,5.5,9.4,24.4
0500000US27095,27095,"Mille Lacs County, Minnesota",11479,91.2,80.6,10.6,7.8,2,0.8,1.07,0.4,3.2,0.1,1.6,3.6,98.7,53.8,44.9,1.3,37.9,13.8,24.1,62.1,11070,9.4,7,6.7,8.6,11.6,13,13.7,7.8,2.8,19.5,23.3,13.3,11,7.3,3.8,7.4,6.4,11.1,16.6,29.1
0500000US27097,27097,"Morrison County, Minnesota",16011,88.4,77.4,11.1,8,1.8,1.3,1.08,0.2,3.1,0.2,1.1,7,99,62.1,36.8,1,40.2,17.8,22.4,59.8,14883,9.1,6.3,6.8,9.7,11.2,14,13.7,6.7,2.7,19.6,22.6,13.3,12,9.8,5.7,11.6,8.6,8.4,8,25.6
0500000US27099,27099,"Mower County, Minnesota",18594,88,78.9,9.1,7.3,1.4,0.5,1.06,2.2,3.6,0.8,1.6,3.8,97.9,77,21,2.1,76.1,54.3,21.8,23.9,17881,6.3,5.3,7.1,8.9,12.5,11.1,11,5.6,3.4,28.9,36.6,23.7,8.6,6.8,3.1,6.8,4.7,6,3.8,17.5
0500000US27101,27101,"Murray County, Minnesota",4223,83.9,75.5,8.4,6.5,1.1,0.8,1.06,0.6,4.9,0.5,0.6,9.4,97.9,68.3,29.6,2.1,57.2,26.9,30.3,42.8,3827,2.9,4,4.8,10.1,11.6,18.3,16.8,10.6,3.4,17.4,35.5,13.2,11.5,9.8,4.7,11.7,5.2,4.7,3.9,19.7
0500000US27103,27103,"Nicollet County, Minnesota",18246,84.6,77.3,7.2,5.8,1.2,0.3,1.05,0.9,4.2,0.8,0.5,9,99.7,50.3,49.4,0.3,81.8,33.7,48.1,18.2,16606,2.5,2.6,6.2,5.9,11.9,13.4,20.6,9.2,3.3,24.4,32.8,21.1,19.5,11.6,2.5,4.5,1.4,2,4.6,16.2
0500000US27105,27105,"Nobles County, Minnesota",10162,87.9,70.5,17.4,12.1,1.8,3.4,1.13,0.5,4,0.6,2.7,4.4,92.8,82.2,10.6,7.2,74.8,46.7,28.1,25.2,9719,5.1,7.4,7.1,10.2,7.7,12.3,14.9,7.5,2.3,25.4,35.8,21.9,10.9,8.9,3.2,5.6,3.8,6.4,3.5,17.4
0500000US27107,27107,"Norman County, Minnesota",3088,86.1,78.3,7.8,5.9,0.9,0.9,1.05,0.3,3.5,0.7,0.5,9,85.4,62.2,23.2,14.6,55.1,25.7,29.4,44.9,2811,2.8,3.5,6.5,7.8,12,18.4,19.1,10,3.6,16.4,32,13.7,11.5,9,3.2,8,4.5,8,10.1,22.3
0500000US27109,27109,"Olmsted County, Minnesota",77949,86.7,75.8,10.9,8.9,1.1,0.9,1.07,4.7,3,0.7,0.9,4.1,99.1,93,6.1,0.9,85.2,68,17.2,14.8,74756,3,2.8,5,8.9,12.2,17.7,14.9,8.8,4.3,22.4,18,25.4,26,14.1,4.1,5.6,1.6,2.1,3.1,17.3
0500000US27111,27111,"Otter Tail County, Minnesota",26863,88.4,77.1,11.3,8.1,1.5,1.6,1.08,0.7,4.2,0.6,0.8,5.3,94.9,78.6,16.3,5.1,42.8,28.5,14.3,57.2,25427,4,4,6.2,8.1,9.9,15.1,17.8,9.5,4.3,21.1,29.6,17.7,14.4,10.4,5,8.1,3.8,4.4,6.7,20.7
0500000US27113,27113,"Pennington County, Minnesota",7381,88,74.6,13.5,11,1.8,0.6,1.09,1,3.7,0.7,1.8,4.9,98.3,92.1,6.2,1.7,65.2,57.4,7.8,34.8,7023,3.1,3.5,6.3,7.1,10.8,12.6,19.4,11.8,5.4,20,41.3,25.5,11.9,6,1.8,4.7,2.2,2.6,4.1,15
0500000US27115,27115,"Pine County, Minnesota",12656,91.3,78.6,12.7,9.7,1.9,1.1,1.08,0.6,2.3,0.2,1.4,4.2,98,61.5,36.5,2,37.7,12.8,24.9,62.3,12122,9.5,6.6,6.2,7.7,9.2,12.4,11.7,7.6,3.3,25.8,18.6,15,14.4,10.7,5,7.9,5.8,5.2,17.4,29.9
0500000US27117,27117,"Pipestone County, Minnesota",4631,86.7,75.5,11.2,7.1,2.4,1.7,1.08,0.6,3.9,0.1,1.2,7.5,88.9,78.5,10.4,11.1,71.6,40.6,31.1,28.4,4285,4.6,4.3,6,10.2,9.7,16.5,16.7,7.7,6,18.3,46,11.8,11.1,7.3,2.9,6.1,3.6,6,5.3,17.5
0500000US27119,27119,"Polk County, Minnesota",15459,89.4,80.9,8.4,6,1.6,0.9,1.06,0.7,4,0.5,0.8,4.7,70.6,62.4,8.2,29.4,67.3,30.3,37,32.7,14725,2.7,2.5,4.2,7.6,11.1,16.5,21.7,9.5,4,20.1,33.1,17.9,15.5,9.8,4,7.7,4.2,4.3,3.5,17.7
0500000US27121,27121,"Pope County, Minnesota",5320,87.1,77.9,9.2,7.1,1.4,0.7,1.06,0.3,5.8,0.1,1.4,5.4,99.2,61.4,37.8,0.8,42.6,16.7,26,57.4,5035,3.4,4.8,8.2,8.1,10.5,18,18.5,7.5,3.3,17.8,28.9,14.8,16.1,11.8,5.6,11.4,4,3.8,3.4,18.7
0500000US27123,27123,"Ramsey County, Minnesota",256575,83.8,74.5,9.4,7.3,1,1,1.07,6.2,3.1,1,0.8,5.1,98.9,55,44,1.1,97.6,29,68.5,2.4,243523,2.7,3.1,4,7.3,10.9,14.6,12.4,11.4,6.2,27.4,9.9,14.7,18.6,18.7,8.6,14,6.4,5.3,3.9,23.1
0500000US27125,27125,"Red Lake County, Minnesota",2048,89.4,80.1,9.3,6.9,1.2,1.2,1.06,0.2,4.2,0,0.5,5.6,97.4,46.4,51,2.6,51.5,20.3,31.2,48.5,1933,3.1,3.8,4.2,9.8,13.5,15.9,21.7,8.2,4.2,15.6,24.3,8.2,10.2,15.5,10.7,16.5,4.4,6.1,4.1,22.3
0500000US27127,27127,"Redwood County, Minnesota",7506,86.3,77.4,8.8,6.3,0.9,1.5,1.06,0.5,4.6,0.5,0.3,7.9,99.3,77.5,21.8,0.7,65.1,33.4,31.7,34.9,6913,3.1,2.8,5.2,8.9,9.8,16.5,19.4,10.3,4,19.9,39.5,13.3,14.3,10.1,4.3,7.6,2.9,4.7,3.3,16.6
0500000US27129,27129,"Renville County, Minnesota",7396,86.9,79.3,7.6,5.2,1.1,1.3,1.05,0.5,3.7,0.6,0.8,7.5,99.6,67.3,32.3,0.4,59.2,24.6,34.6,40.8,6841,4.5,4.2,4.5,10.6,12.8,15.7,17.5,8.6,3.3,18.2,34.1,15,13.3,11,5.4,8.3,4.7,4.3,3.9,18.4
0500000US27131,27131,"Rice County, Minnesota",32880,79.4,71.7,7.6,5.8,0.9,1,1.06,1,4.6,0.7,1.4,13,99.2,67.1,32.1,0.8,75.5,40.9,34.6,24.5,28607,6.2,4.7,6.8,9.1,9.4,13.6,14.7,7,4.8,23.6,25.8,16.9,11.1,10.6,5.6,7.6,5.3,8.8,8.2,22.5
0500000US27133,27133,"Rock County, Minnesota",4679,84.4,76,8.3,6.2,0.9,1.2,1.06,1.1,4.6,0.2,2.1,7.6,76,67.6,8.4,24,62.7,34.2,28.5,37.3,4322,5.9,4.5,2.9,9,11.8,17.3,17.2,7.4,3.4,20.5,39.1,13.6,10.8,6.9,4.4,9.4,7.4,5,3.4,18.2
0500000US27135,27135,"Roseau County, Minnesota",8180,90.4,73.8,16.6,13.4,1.8,1.3,1.11,0.6,3.2,0.4,1.2,4.3,99.1,94.7,4.4,0.9,35.5,24.3,11.3,64.5,7831,10.9,6.6,6.7,9.3,9.7,10.2,16.4,6.3,3.1,20.8,37.6,17.2,12.8,10,4.2,8.8,3.1,3.1,3.3,16.6
0500000US27137,27137,"St. Louis County, Minnesota",92866,87.9,78,9.9,8.1,1.3,0.6,1.06,2.3,4.4,0.5,1.1,3.8,95.4,89.7,5.7,4.6,76.7,47.6,29.1,23.3,89366,3.4,3.1,5.3,8.4,10.4,14,15.7,8.3,4.9,26.6,20.5,20.5,18.7,14.8,5.6,8.6,3.6,3.6,4,19.6
0500000US27139,27139,"Scott County, Minnesota",71862,91.1,83.9,7.2,5.6,1.1,0.5,1.04,1.7,0.9,0.2,1,5.2,99,35.6,63.4,1,83.3,17.8,65.5,16.7,68108,3.7,3.8,5.4,10.9,11.8,16.5,12.5,10,4.2,21.3,11.4,11.4,11.2,15.6,9,16.6,10.6,8.8,5.4,26.3
0500000US27141,27141,"Sherburne County, Minnesota",45578,92.2,82.8,9.4,7.7,1,0.8,1.06,1.4,0.9,0.2,1.3,4,99.2,30.2,69.1,0.8,54.4,12.1,42.3,45.6,43736,7.1,6.6,7.5,12,11.1,14,10.4,6.9,3.5,20.9,9.5,10.6,12,9.5,6.2,12,10.2,14.3,15.7,32.1
0500000US27143,27143,"Sibley County, Minnesota",7648,87.9,77.7,10.3,7.3,2.1,0.9,1.07,0.3,3.7,0.1,0.4,7.5,99.4,47.6,51.9,0.6,52.7,17.4,35.3,47.3,7071,8.1,6.6,8.8,11.5,10,14.5,11.9,7.5,2.7,18.4,23,11.5,11,9.7,5.3,13.3,9.1,9.6,7.5,25
0500000US27145,27145,"Stearns County, Minnesota",79744,86.7,78.4,8.3,6.1,1.3,0.9,1.06,1.4,4.1,0.5,0.6,6.8,99.2,80.5,18.7,0.8,73.7,31.3,42.4,26.3,74355,5.7,4,4.9,8.5,10.5,14.5,16.3,7.6,3.3,24.8,22.3,19.6,18.7,12.8,5.3,8.1,3.8,3.8,5.5,20.3
0500000US27147,27147,"Steele County, Minnesota",18070,92.9,86,6.9,5.5,0.8,0.6,1.04,0.5,1.9,0.5,0.9,3.3,99.8,78.5,21.2,0.2,80,54.2,25.8,20,17476,4.3,3.6,7.7,8.4,14.1,14.5,15.1,7.1,2.7,22.6,33.4,23.6,12.5,9.5,3.9,4.9,3.2,4.1,4.8,17.7
0500000US27149,27149,"Stevens County, Minnesota",5050,77,69.1,7.9,5,1.1,1.8,1.06,1.5,12.7,2.1,0.8,5.9,99.1,90,9.1,0.9,70.4,51.4,19,29.6,4754,2.8,3.7,7,4.8,8.5,10.1,19.8,12.1,5.4,26,49.1,23.3,11.3,6.2,1.7,2.7,2.2,1.8,1.8,12
0500000US27151,27151,"Swift County, Minnesota",4919,81.4,73.3,8.1,6,1.2,0.9,1.06,0.9,9,0.7,1,7,99.3,76.1,23.3,0.7,62.8,36.1,26.7,37.2,4577,4.5,4.6,10.1,8.5,10.3,16.1,16.9,7.6,3.5,18,44.3,13.7,7.7,8.5,4.9,10,3.9,4.7,2.3,16.4
0500000US27153,27153,"Todd County, Minnesota",11161,86,75,11,8.2,1.5,1.3,1.08,0.3,3.6,0.1,1.9,8.1,99,53.9,45.1,1,33.6,13.4,20.3,66.4,10258,9,5.6,6.1,10.1,10.3,13.5,13.2,7.7,2.6,21.7,25.1,14.2,11.3,12.4,5.8,11.2,6.2,7.4,6.4,23.4
0500000US27155,27155,"Traverse County, Minnesota",1618,82.2,75.2,7,3.6,2.1,1.3,1.06,0,5.4,1.6,0.8,10,91.6,77.6,14,8.4,63.2,45.2,18,36.8,1457,2,1.5,4.9,8,10.1,17.2,20,14.4,4.5,17.4,51.7,10.8,7.5,8,3.3,9.1,5.1,2.3,2.3,15
0500000US27157,27157,"Wabasha County, Minnesota",11140,86.2,75.7,10.5,8.4,1.5,0.6,1.07,2.5,4.3,0.5,0.6,5.9,97.8,51.4,46.4,2.2,59.3,25.8,33.5,40.7,10482,5.5,3.7,7.6,9.2,12.3,16.4,14.6,6.9,2.8,21.1,28.1,9.7,8.3,10.2,10.1,14.8,6.4,7,5.4,22.9
0500000US27159,27159,"Wadena County, Minnesota",5742,90.4,79.4,11,7.7,1.3,2.1,1.08,0.8,3,0.2,0.9,4.8,98.5,65.1,33.4,1.5,50.8,27.8,23,49.2,5467,4.8,4.7,5.7,10.2,10,10.4,17.7,7.5,3.8,25.3,31.4,15.6,12.7,9.8,5,10.1,3.3,5.7,6.3,22
0500000US27161,27161,"Waseca County, Minnesota",9330,89.4,80,9.4,7.6,1,0.7,1.06,0.6,2.4,0.6,1,6.1,99.2,61.4,37.8,0.8,66.7,32.7,34,33.3,8763,7.6,4.7,5.9,10.2,11.3,15.3,13.9,6.1,3.3,21.8,31.6,13.4,12.8,14.2,6.4,8.7,4,3.5,5.4,20.1
0500000US27163,27163,"Washington County, Minnesota",126519,91.3,82.8,8.5,7.2,0.8,0.5,1.05,2.2,1,0.3,0.6,4.6,97.4,36,61.4,2.6,94.8,17.8,77.1,5.2,120722,3.1,3.2,5.1,9.8,12.6,15.5,12.7,10.3,5.2,22.5,11.5,11.4,12.7,15.7,8.9,15.9,9.5,9.5,4.9,25.7
0500000US27165,27165,"Watonwan County, Minnesota",5621,88.8,76.6,12.2,10.1,1.9,0.3,1.08,0.6,4.8,0.4,0.2,5.2,99.8,65.9,33.9,0.2,70.7,34.9,35.8,29.3,5331,5.8,3.7,5,10.8,11.2,18.7,13.6,7.2,3.5,20.7,36.8,12.8,10.4,7.8,5.3,10.7,7.5,5.6,3.2,19.2
0500000US27167,27167,"Wilkin County, Minnesota",3331,86.8,77.6,9.2,7.1,0.8,1.3,1.06,0.1,4.1,0.4,0.4,8.3,51.3,41.5,9.8,48.7,61.7,18.6,43.1,38.3,3054,3.5,2.8,6.4,9.2,10.6,16.5,16.1,9.6,3.2,22.1,34.2,16.1,10.3,9.4,5.3,10.1,5.7,6.3,2.7,18.6
0500000US27169,27169,"Winona County, Minnesota",27495,83.8,75.8,7.9,6.7,0.7,0.5,1.05,1.7,7,1.3,1.2,5,91.2,80,11.2,8.8,77.6,46.7,30.9,22.4,26121,5.5,3.7,6.3,7.5,11.1,13.7,13.9,8.5,3.2,26.7,32.1,21.2,14.6,8.8,4.6,6.7,4.3,4.7,3.1,17.3
0500000US27171,27171,"Wright County, Minnesota",66010,91.4,83.3,8,6.1,1.4,0.6,1.05,0.7,1.5,0.4,1.2,4.9,99.1,40.9,58.2,0.9,74.6,14.5,60.1,25.4,62798,5.7,6.1,6.9,12,11.6,16.1,11.3,6.3,3.2,20.7,12.9,11.3,10.4,9.1,5,13.6,11.9,14.7,11.1,30.1
0500000US27173,27173,"Yellow Medicine County, Minnesota",5037,83,72.7,10.3,7.2,2,1.2,1.07,0.7,6,0,1.1,9.2,97.4,62,35.3,2.6,51.9,23.4,28.5,48.1,4574,4.5,5.4,6.9,7.9,10.8,17.5,16.2,8.6,3.5,18.6,33.9,15.8,12.1,11,5.2,11.3,3.7,4.3,2.7,17.9
0500000US55001,55001,"Adams County, Wisconsin",7456,92.3,80,12.3,9.8,1.4,1.1,1.08,0.1,1.7,0.3,1.5,4.1,97.7,43.9,53.9,2.3,23,4.1,18.9,77,7148,8.2,6.2,6.5,9.6,9.8,10.5,13.2,6.7,3.8,25.5,15,11.5,10.7,14.7,7.3,11.3,8.2,11,10.4,28.5
0500000US55003,55003,"Ashland County, Wisconsin",7175,86.4,76.7,9.7,6,1.8,1.9,1.07,1,5.9,1.1,0.6,5,98.5,79,19.5,1.5,67.4,45.2,22.3,32.6,6816,6,5.3,5.2,6.3,12.3,11.1,17.3,8.1,5.3,23.1,35.8,20.6,12.9,10.1,3.7,5,2.7,3.6,5.5,18.1
0500000US55005,55005,"Barron County, Wisconsin",21601,87.1,79.3,7.7,5.5,1.4,0.8,1.05,0.2,5.6,0.3,0.6,6.1,97.6,83.5,14.1,2.4,45,23.7,21.3,55,20282,9.3,4.8,6.9,7.2,10.9,13.3,13.5,7.5,2.9,23.8,29.6,18.6,15.1,11.7,5.1,6.8,3.3,3.7,6.1,19.4
0500000US55007,55007,"Bayfield County, Wisconsin",6774,85.7,75.5,10.1,8,1.5,0.7,1.07,0.9,5.1,0.6,0.9,6.9,94.7,57,37.7,5.3,29.4,12.4,17,70.6,6306,3.2,4.2,5.5,8.2,13.1,16.1,16.3,9.6,4.5,19.3,24.8,11.6,13.5,14.2,4.8,10.1,5.8,7.7,7.6,23.8
0500000US55009,55009,"Brown County, Wisconsin",126141,91.2,83.4,7.8,6.2,1,0.6,1.05,0.8,2.5,0.4,1.3,3.9,99.6,89.7,9.8,0.4,86.4,30.8,55.6,13.6,121269,6.1,4.5,6.1,7.6,13,14.4,13.8,7.3,3.8,23.7,16.9,21.7,23.3,16.9,5.3,6.8,2.9,3,3.1,18.7
0500000US55011,55011,"Buffalo County, Wisconsin",6749,86.3,74.1,12.2,8.4,2.3,1.5,1.09,0.2,5.1,0,0.9,7.6,75.7,46,29.7,24.3,42.9,13.6,29.3,57.1,6239,8.9,7,6.5,9.7,8.4,14.7,14.9,7.4,1.4,21,23.3,11.3,12.4,9.7,7.7,14.8,8,7.2,5.8,24.1
0500000US55013,55013,"Burnett County, Wisconsin",6192,88.7,78.7,10,8.3,1,0.8,1.06,0.3,2.7,0.3,1,7,84.8,65,19.8,15.2,18.2,8.9,9.3,81.8,5761,8.4,5.1,6.1,8.1,9.1,12.4,15.6,8.7,3.8,22.9,26.4,13.4,11.1,11.7,4,9,4,7.6,12.9,27.3
0500000US55015,55015,"Calumet County, Wisconsin",26139,93.6,86.2,7.4,4.9,1.7,0.9,1.05,0.2,1.5,0.5,0.5,3.8,99.6,31.6,68,0.4,74.5,18,56.5,25.5,25146,7.8,4.6,6.6,9,10.1,17.1,13.9,6.8,2.5,21.7,19.5,16.3,20,16,5.6,9.8,5.3,4.3,3.1,20.1
0500000US55017,55017,"Chippewa County, Wisconsin",30259,89.2,80.7,8.4,6.1,1.1,1.2,1.06,0.1,2.5,0.3,1.2,6.7,98.3,60.4,37.9,1.7,54.5,18.6,36,45.5,28238,6.4,5.6,9.8,9.1,11.8,14.2,11.9,6.4,2.5,22.2,20.3,15.4,15.9,16.3,7.5,10.9,4.4,5,4.2,21.5
0500000US55019,55019,"Clark County, Wisconsin",15322,82.1,73.5,8.6,6,1.4,1.2,1.06,0.1,4.9,0.8,1.8,10.3,99.3,65,34.3,0.7,37.3,13.4,23.8,62.7,13745,10,6.4,8,10,11.7,13.6,11.7,6.2,2,20.4,29.7,14.2,12.7,11.1,5.9,9,6.2,5.7,5.4,21
0500000US55021,55021,"Columbia County, Wisconsin",29129,92.1,81.7,10.4,8.4,1,1,1.07,0.2,2.7,0.2,1.3,3.5,99.1,49.5,49.6,0.9,60.9,17.9,43,39.1,28105,6.1,4.9,8.5,11,12.6,14.9,12.8,6,3,20,20.5,13.1,9.6,11.4,6.7,11.2,10.7,10.6,6.2,25.4
0500000US55023,55023,"Crawford County, Wisconsin",7476,89,80.4,8.6,6.1,1.6,0.9,1.06,0.3,3.6,0.2,1,5.9,93,68.7,24.2,7,50.2,26.8,23.4,49.8,7035,5.9,6.1,10.6,6.6,9.7,12.2,13.1,5.8,4.4,25.6,28.8,16,11.2,10.8,4.7,8.5,5.5,7,7.4,23.4
0500000US55025,55025,"Dane County, Wisconsin",275925,81,72.6,8.4,6.7,1.1,0.5,1.06,5.1,5.7,3,0.8,4.5,99.2,94.5,4.7,0.8,85.1,43.4,41.6,14.9,263619,2.5,2.1,3.8,6.9,10.2,16.1,17,10.9,6.2,24.3,14.7,16.5,18.9,18.1,7.9,12.1,5,3.6,3.2,20.9
